Date,FSDI Ch 54,FSDI Ch 55,FSDI Ch 56,FSDI Ch 57,FSDI Ch 58,FSDI Ch 59,FSDI Ch Ch 60,MDI1 Ch 1 (12-3pm),FSDI Ch 61,MDI1 Ch 2 (9-12pm),FSDI Ch 62,MDI1 Ch 3 (12-3pm),FSDI Ch 63,MDI1 Ch 4 (9-12pm),FSDI Ch 64
"Wednesday, 09/03/25",,,,FSDI 118,,FSDI 111,,MDI-1 107,FSDI 104,,,,,,
"Thursday, 09/04/25",,,FSDI 120,,FSDI 115,,FSDI 108,,,MDI-1 104,,,,,
"Friday, 09/05/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 09/06/25",,,FSDI 120,,FSDI 115,,FSDI 108,,,MDI-1 104,,,,,
"Saturday (12 pm - 3 pm), 09/06/25",,,,FSDI 118,,FSDI 111,,MDI-1 108,FSDI 104,,,,,,
"Sunday, 09/07/25",,,FSDI 120,,,,,,,,,,,,
"Monday, 09/08/25",,,,FSDI 118,,FSDI 111,,MDI-1 108,FSDI 104,,Orientation,MDI-1 101,,,
"Tuesday, 09/09/25",,,,,FSDI 116,,FSDI 108,,,MDI-1 104,FSDI 101,,,,
"Wednesday, 09/10/25",,,,FSDI 118,,FSDI 112,,MDI-1 108,FSDI 104,,,MDI-1 101,,,
"Thursday, 09/11/25",,,,,FSDI 116,,FSDI 108,,,MDI-1 105,FSDI 101,,,,
"Friday, 09/12/25",,,,,,,,,FSDI 105,,,,,,
"Saturday (9 am - 12 pm), 09/13/25",,,,,FSDI 116,,FSDI 109,,,MDI-1 105,FSDI 101,,,,
"Saturday (12 pm - 3 pm), 09/13/25",,,,FSDI 119,,FSDI 112,,MDI-1 108,,,,MDI-1 101,,,
"Sunday, 09/14/25",,,,,,,,,,,,,,,
"Monday, 09/15/25",,,,FSDI 119,,FSDI 112,,MDI-1 109,FSDI 105,,,MDI-1 101,,,
"Tuesday, 09/16/25",,,,,FSDI 116,,FSDI 109,,,MDI-1 105,FSDI 101,,,,
"Wednesday, 09/17/25",,,,FSDI 119,,FSDI 112,,MDI-1 109,FSDI 105,,,MDI-1 102,,,
"Thursday, 09/18/25",,,,,FSDI 117,,FSDI 109,,,MDI-1 105,FSDI 102,,,,
"Friday, 09/19/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 09/20/25",,,,,FSDI 117,,FSDI 109,,,MDI-1 106,FSDI 102,,,,
"Saturday (12 pm - 3 pm), 09/20/25",,,,FSDI 119,,FSDI 113,,MDI-1 109,FSDI 105,,,MDI-1 102,,,
"Sunday, 09/21/25",,,,,,,,,,,,,,,
"Monday, 09/22/25",,,,FSDI 119,,FSDI 113,,MDI-1 109,FSDI 106,,,MDI-1 102,,,
"Tuesday, 09/23/25",,,,,FSDI 117,,FSDI 110,,,MDI-1 106,FSDI 102,,,,
"Wednesday, 09/24/25",,,,FSDI 119,,FSDI 113,,MDI-1 110,FSDI 106,,,MDI-1 102,,,
"Thursday, 09/25/25",,,,,FSDI 117,,FSDI 110,,,MDI-1 106,FSDI 102,,,,
"Friday, 09/26/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 09/27/25",,,,,FSDI 117,,FSDI 110,,,MDI-1 106,FSDI 103,,,,
"Saturday (12 pm - 3 pm), 09/27/25",,,,FSDI 120,,FSDI 113,,MDI-1 110,FSDI 106,,,MDI-1 103,,,
"Sunday, 09/28/25",,,,,,,,,,,,,,,
"Monday, 09/29/25",,,,FSDI 120,,FSDI 114,,MDI-1 110,FSDI 106,,,MDI-1 103,,,
"Tuesday, 09/30/25",,,,,FSDI 117,,FSDI 110,,,MDI-1 107,FSDI 103,,,,
"Wednesday, 10/01/25",,,,FSDI 120,,FSDI 114,,MDI-1 110,FSDI 107,,,MDI-1 103,,,
"Thursday, 10/02/25",,,,,FSDI 118,,FSDI 111,,,MDI-1 107,FSDI 103,,,,
"Friday, 10/03/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 10/04/25",,,,,FSDI 118,,FSDI 111,,,MDI-1 107,FSDI 103,,,,
"Saturday (12 pm - 3 pm), 10/04/25",,,,FSDI 120,,FSDI 114,,MDI-1 111,FSDI 107,,,MDI-1 103,,,
"Sunday, 10/05/25",,,,,,,,,,,,,,,
"Monday, 10/06/25",,,,FSDI 120,,FSDI 114,,MDI-1 111,FSDI 107,,,MDI-1 104,,,
"Tuesday, 10/07/25",,,,,FSDI 118,,FSDI 111,,,MDI-1 107,FSDI 104,,,,
"Wednesday, 10/08/25",,,,FSDI 120,,FSDI 115,,MDI-1 111,FSDI 107,,,MDI-1 104,,,
"Thursday, 10/09/25",,,,,FSDI 118,,FSDI 111,,,MDI-1 108,FSDI 104,,,,
"Friday, 10/10/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 10/11/25",,,,,FSDI 118,,FSDI 112,,,MDI-1 108,FSDI 104,,,,
"Saturday (12 pm - 3 pm), 10/11/25",,,,FSDI 120,,FSDI 115,,MDI-1 111,FSDI 108,,,MDI-1 104,,,
"Sunday, 10/12/25",,,,FSDI 120,,,,,,,,,,,
"Monday, 10/13/25",,,,,,FSDI 115,,MDI-1 112,FSDI 108,,,MDI-1 104,FSDI 101,,
"Tuesday, 10/14/25",,,,,FSDI 118,,FSDI 112,,,MDI-1 108,FSDI 104,,,MDI-1 101,
"Wednesday, 10/15/25",,,,,,FSDI 115,,MDI-1 112,FSDI 108,,,MDI-1 105,FSDI 101,,
"Thursday, 10/16/25",,,,,FSDI 119,,FSDI 112,,,MDI-1 108,FSDI 105,,,MDI-1 101,
"Friday, 10/17/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 10/18/25",,,,,FSDI 119,,FSDI 112,,,MDI-1 109,FSDI 105,,,MDI-1 101,
"Saturday (12 pm - 3 pm), 10/18/25",,,,,,FSDI 116,,MDI-1 112,FSDI 108,,,MDI-1 105,FSDI 101,,
"Sunday, 10/19/25",,,,,,,,,,,,,,,
"Monday, 10/20/25",,,,,,FSDI 116,,MDI-1 112,FSDI 109,,,MDI-1 105,FSDI 101,,
"Tuesday, 10/21/25",,,,,FSDI 119,,FSDI 113,,,MDI-1 109,FSDI 105,,,MDI-1 101,
"Wednesday, 10/22/25",,,,,,FSDI 116,,MDI-1 113,FSDI 109,,,MDI-1 105,FSDI 102,,
"Thursday, 10/23/25",,,,,FSDI 119,,FSDI 113,,,MDI-1 109,FSDI 105,,,MDI-1 102,
"Friday, 10/24/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 10/25/25",,,,,FSDI 119,,FSDI 113,,,MDI-1 109,FSDI 106,,,MDI-1 102,
"Saturday (12 pm - 3 pm), 10/25/25",,,,,,FSDI 116,,MDI-1 113,FSDI 109,,,MDI-1 106,FSDI 102,,
"Sunday, 10/26/25",,,,,,,,,,,,,,,
"Monday, 10/27/25",,,,,,FSDI 117,,MDI-1 113,FSDI 109,,,MDI-1 106,FSDI 102,,
"Tuesday, 10/28/25",,,,,FSDI 119,,FSDI 113,,,MDI-1 110,FSDI 106,,,MDI-1 102,
"Wednesday, 10/29/25",,,,,,FSDI 117,,MDI-1 113,FSDI 110,,,MDI-1 106,FSDI 102,,
"Thursday, 10/30/25",,,,,FSDI 120,,FSDI 114,,,MDI-1 110,FSDI 106,,,MDI-1 102,
"Friday, 10/31/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/01/25",,,,,FSDI 120,,FSDI 114,,,MDI-1 110,FSDI 106,,,MDI-1 103,
"Saturday (12 pm - 3 pm), 11/01/25",,,,,,FSDI 117,,MDI-1 114,FSDI 110,,,MDI-1 106,FSDI 103,,
"Sunday, 11/02/25",,,,,,,,,,,,,,,
"Monday, 11/03/25",,,,,,FSDI 117,,MDI-1 114,FSDI 110,,,MDI-1 107,FSDI 103,,
"Tuesday, 11/04/25",,,,,FSDI 120,,FSDI 114,,,MDI-1 110,FSDI 107,,,MDI-1 103,
"Wednesday, 11/05/25",,,,,,FSDI 117,,MDI-1 114,FSDI 110,,,MDI-1 107,FSDI 103,,
"Thursday, 11/06/25",,,,,FSDI 120,,FSDI 114,,,MDI-1 111,FSDI 107,,,MDI-1 103,
"Friday, 11/07/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/08/25",,,,,FSDI 120,,FSDI 115,,,MDI-1 111,FSDI 107,,,MDI-1 103,
"Saturday (12 pm - 3 pm), 11/08/25",,,,,,FSDI 117,,MDI-1 114,FSDI 111,,,MDI-1 107,FSDI 103,,
"Sunday, 11/09/25",,,,,,,,,,,,,,,
"Monday, 11/10/25",,,,,,FSDI 118,,MDI-1 115,FSDI 111,,,MDI-1 107,FSDI 104,,
"Tuesday, 11/11/25",,,,,,,,,,,,,,,
"Wednesday, 11/12/25",,,,,,FSDI 118,,MDI-1 115,FSDI 111,,,MDI-1 108,FSDI 104,,
"Thursday, 11/13/25",,,,,FSDI 120,,FSDI 115,,,MDI-1 111,FSDI 107,,,MDI-1 104,
"Friday, 11/14/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/15/25",,,,,FSDI 120,,FSDI 115,,,MDI-1 111,FSDI 108,,,MDI-1 104,
"Saturday (12 pm - 3 pm), 11/15/25",,,,,,FSDI 118,,MDI-1 115,FSDI 111,,,MDI-1 108,FSDI 104,,
"Sunday, 11/16/25",,,,,FSDI 120,,,,,,,,,,
"Monday, 11/17/25",,,,,,FSDI 118,,MDI-1 115,FSDI 112,,,MDI-1 108,FSDI 104,,
"Tuesday, 11/18/25",,,,,,,FSDI 115,,,MDI-1 112,FSDI 108,,,MDI-1 104,FSDI 101
"Wednesday, 11/19/25",,,,,,FSDI 118,,MDI-1 116,FSDI 112,,,MDI-1 108,FSDI 105,,
"Thursday, 11/20/25",,,,,,,FSDI 116,,,MDI-1 112,FSDI 108,,,MDI-1 104,FSDI 101
"Friday, 11/21/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/22/25",,,,,,,FSDI 116,,,MDI-1 112,FSDI 108,,,MDI-1 105,FSDI 101
"Saturday (12 pm - 3 pm), 11/22/25",,,,,,FSDI 118,,MDI-1 116,FSDI 112,,,MDI-1 109,FSDI 105,,
"Sunday, 11/23/25",,,,,,,,,,,,,,,
"Monday, 11/24/25",,,,,,FSDI 119,,MDI-1 116,FSDI 112,,,MDI-1 109,FSDI 105,,
"Tuesday, 11/25/25",,,,,,,FSDI 116,,,MDI-1 112,FSDI 109,,,MDI-1 105,FSDI 101
"Wednesday, 11/26/25",,,,,,FSDI 119,,MDI-1 116,FSDI 113,,,MDI-1 109,FSDI 105,,
"Thursday, 11/27/25",,,,,,,,,,,,,,,
"Friday, 11/28/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/29/25",,,,,,,FSDI 116,,,MDI-1 113,FSDI 109,,,MDI-1 105,FSDI 102
"Saturday (12 pm - 3 pm), 11/29/25",,,,,,FSDI 119,,MDI-1 117,FSDI 113,,,MDI-1 109,FSDI 106,,
"Sunday, 11/30/25",,,,,,,,,,,,,,,
"Monday, 12/01/25",,,,,,FSDI 119,,MDI-1 117,FSDI 113,,,MDI-1 110,FSDI 106,,
"Tuesday, 12/02/25",,,,,,,FSDI 117,,,MDI-1 113,FSDI 109,,,MDI-1 105,FSDI 102
"Wednesday, 12/03/25",,,,,,FSDI 119,,MDI-1 117,FSDI 113,,,MDI-1 110,FSDI 106,,
"Thursday, 12/04/25",,,,,,,FSDI 117,,,MDI-1 113,FSDI 109,,,MDI-1 106,FSDI 102
"Friday, 12/05/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 12/06/25",,,,,,,FSDI 117,,,MDI-1 113,FSDI 110,,,MDI-1 106,FSDI 102
"Saturday (12 pm - 3 pm), 12/06/25",,,,,,FSDI 119,,MDI-1 117,FSDI 114,,,MDI-1 110,FSDI 106,,
"Sunday, 12/07/25",,,,,,,,,,,,,,,
"Monday, 12/08/25",,,,,,FSDI 120,,MDI-1 117,FSDI 114,,,MDI-1 110,FSDI 107,,
"Tuesday, 12/09/25",,,,,,,FSDI 117,,,MDI-1 114,FSDI 110,,,MDI-1 106,FSDI 103
"Wednesday, 12/10/25",,,,,,FSDI 120,,MDI-1 117,FSDI 114,,,MDI-1 111,FSDI 107,,
"Thursday, 12/11/25",,,,,,,FSDI 117,,,MDI-1 114,FSDI 110,,,MDI-1 106,FSDI 103
"Friday, 12/12/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 12/13/25",,,,,,,FSDI 117,,,MDI-1 114,FSDI 110,,,MDI-1 107,FSDI 103
"Saturday (12 pm - 3 pm), 12/13/25",,,,,,FSDI 120,,MDI-1 118,FSDI 114,,,MDI-1 111,FSDI 107,,
"Sunday, 12/14/25",,,,,,,,,,,,,,,
"Monday, 12/15/25",,,,,,FSDI 120,,MDI-1 118,FSDI 115,,,MDI-1 111,FSDI 107,,
"Tuesday, 12/16/25",,,,,,,FSDI 118,,,MDI-1 114,FSDI 111,,,MDI-1 107,FSDI 103
"Wednesday, 12/17/25",,,,,,FSDI 120,,MDI-1 118,FSDI 115,,,MDI-1 111,FSDI 108,,
"Thursday, 12/18/25",,,,,,,FSDI 118,,,MDI-1 115,FSDI 111,,,MDI-1 107,FSDI 104
"Friday, 12/19/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 12/20/25",,,,,,,FSDI 118,,,MDI-1 115,FSDI 111,,,MDI-1 107,FSDI 104
"Saturday (12 pm - 3 pm), 12/20/25",,,,,,FSDI 120,,MDI-1 118,FSDI 115,,,MDI-1 112,FSDI 108,,
"Sunday, 12/21/25",,,,,,FSDI 120,,,,,,,,,
"Monday, 12/22/25",,,,,,,,,,,,,,,
"Tuesday, 12/23/25",,,,,,,,,,,,,,,
"Wednesday, 12/24/25",,,,,,,,,,,,,,,
"Thursday, 12/25/25",,,,,,,,,,,,,,,
"Friday, 12/26/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 12/27/25",,,,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 12/27/25",,,,,,,,,,,,,,,
"Sunday, 12/28/25",,,,,,,,,,,,,,,
"Monday, 12/29/25",,,,,,,,,,,,,,,
"Tuesday, 12/30/25",,,,,,,,,,,,,,,
"Wednesday, 12/31/25",,,,,,,,,,,,,,,
"Thursday, 01/01/26",,,,,,,,,,,,,,,
"Friday, 01/02/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 01/03/26",,,,,,,,,,MDI-1 115,,,,,
"Saturday (12 pm - 3 pm), 01/03/26",,,,,,,,,,,,,,,
"Sunday, 01/04/26",,,,,,,,,,,,,,,
"Monday, 01/05/26",,,,,,,,MDI-1 118,FSDI 115,,,MDI-1 112,FSDI 108,,
"Tuesday, 01/06/26",,,,,,,FSDI 118,,,MDI-1 115,FSDI 111,,,MDI-1 108,FSDI 104
"Wednesday, 01/07/26",,,,,,,,MDI-1 118,FSDI 116,,,MDI-1 112,FSDI 108,,
"Thursday, 01/08/26",,,,,,,FSDI 118,,,MDI-1 116,FSDI 112,,,MDI-1 108,FSDI 104
"Friday, 01/09/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 01/10/26",,,,,,,FSDI 118,,,MDI-1 116,FSDI 112,,,MDI-1 108,FSDI 105
"Saturday (12 pm - 3 pm), 01/10/26",,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 112,FSDI 109,,
"Sunday, 01/11/26",,,,,,,,,,,,,,,
"Monday, 01/12/26",,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 113,FSDI 109,,
"Tuesday, 01/13/26",,,,,,,FSDI 119,,,MDI-1 116,FSDI 112,,,MDI-1 108,FSDI 105
"Wednesday, 01/14/26",,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 113,FSDI 109,,
"Thursday, 01/15/26",,,,,,,FSDI 119,,,MDI-1 116,FSDI 112,,,MDI-1 109,FSDI 105
"Friday, 01/16/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 01/17/26",,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,,MDI-1 109,FSDI 105
"Saturday (12 pm - 3 pm), 01/17/26",,,,,,,,MDI-1 119,FSDI 117,,,MDI-1 113,FSDI 109,,
"Sunday, 01/18/26",,,,,,,,,,,,,,,
"Monday, 01/19/26",,,,,,,,,,,,,,,
"Tuesday, 01/20/26",,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,,MDI-1 109,FSDI 106
"Wednesday, 01/21/26",,,,,,,,MDI-1 119,FSDI 117,,,MDI-1 113,FSDI 110,,
"Thursday, 01/22/26",,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,,MDI-1 109,FSDI 106
"Friday, 01/23/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 01/24/26",,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,,MDI-1 110,FSDI 106
"Saturday (12 pm - 3 pm), 01/24/26",,,,,,,,MDI-1 119,FSDI 117,,,MDI-1 114,FSDI 110,,
"Sunday, 01/25/26",,,,,,,,,,,,,,,
"Monday, 01/26/26",,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 114,FSDI 110,,
"Tuesday, 01/27/26",,,,,,,FSDI 120,,,MDI-1 117,FSDI 114,,,MDI-1 110,FSDI 106
"Wednesday, 01/28/26",,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 114,FSDI 110,,
"Thursday, 01/29/26",,,,,,,FSDI 120,,,MDI-1 117,FSDI 114,,,MDI-1 110,FSDI 107
"Friday, 01/30/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 01/31/26",,,,,,,FSDI 120,,,MDI-1 118,FSDI 114,,,MDI-1 110,FSDI 107
"Saturday (12 pm - 3 pm), 01/31/26",,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 114,FSDI 111,,
"Sunday, 02/01/26",,,,,,,,,,,,,,,
"Monday, 02/02/26",,,,,,,,MDI-1 120,FSDI 118,,,MDI-1 115,FSDI 111,,
"Tuesday, 02/03/26",,,,,,,FSDI 120,,,MDI-1 118,FSDI 114,,,MDI-1 111,FSDI 107
"Wednesday, 02/04/26",,,,,,,,MDI-1 120,FSDI 118,,,MDI-1 115,FSDI 111,,
"Thursday, 02/05/26",,,,,,,FSDI 120,,,MDI-1 118,FSDI 115,,,MDI-1 111,FSDI 107
"Friday, 02/06/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/07/26",,,,,,,FSDI 120,,,MDI-1 118,FSDI 115,,,MDI-1 111,FSDI 108
"Saturday (12 pm - 3 pm), 02/07/26",,,,,,,,MDI-1 120,FSDI 118,,,MDI-1 115,FSDI 111,,
"Sunday, 02/08/26",,,,,,,FSDI 120,MDI-1 120,,,,,,,
"Monday, 02/09/26",,,,,,,,,FSDI 118,,,MDI-1 115,FSDI 112,,
"Tuesday, 02/10/26",,,,,,,,,,MDI-1 118,FSDI 115,,,MDI-1 111,FSDI 108
"Wednesday, 02/11/26",,,,,,,,,FSDI 118,,,MDI-1 116,FSDI 112,,
"Thursday, 02/12/26",,,,,,,,,,MDI-1 118,FSDI 115,,,MDI-1 112,FSDI 108
"Friday, 02/13/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/14/26",,,,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 112,FSDI 108
"Saturday (12 pm - 3 pm), 02/14/26",,,,,,,,,FSDI 118,,,MDI-1 116,FSDI 112,,
"Sunday, 02/15/26",,,,,,,,,,,,,,,
"Monday, 02/16/26",,,,,,,,,,,,,,,
"Tuesday, 02/17/26",,,,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 112,FSDI 109
"Wednesday, 02/18/26",,,,,,,,,FSDI 119,,,MDI-1 116,FSDI 112,,
"Thursday, 02/19/26",,,,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 112,FSDI 109
"Friday, 02/20/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/21/26",,,,,,,,,,MDI-1 119,FSDI 116,,,MDI-1 113,FSDI 109
"Saturday (12 pm - 3 pm), 02/21/26",,,,,,,,,FSDI 119,,,MDI-1 116,FSDI 113,,
"Sunday, 02/22/26",,,,,,,,,,,,,,,
"Monday, 02/23/26",,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,
"Tuesday, 02/24/26",,,,,,,,,,MDI-1 119,FSDI 117,,,MDI-1 113,FSDI 109
"Wednesday, 02/25/26",,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,
"Thursday, 02/26/26",,,,,,,,,,MDI-1 119,FSDI 117,,,MDI-1 113,FSDI 110
"Friday, 02/27/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/28/26",,,,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 113,FSDI 110
"Saturday (12 pm - 3 pm), 02/28/26",,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 113,,
"Sunday, 03/01/26",,,,,,,,,,,,,,,
"Monday, 03/02/26",,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 114,,
"Tuesday, 03/03/26",,,,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 114,FSDI 110
"Wednesday, 03/04/26",,,,,,,,,FSDI 120,,,MDI-1 117,FSDI 114,,
"Thursday, 03/05/26",,,,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 114,FSDI 110
"Friday, 03/06/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/07/26",,,,,,,,,,MDI-1 120,FSDI 117,,,MDI-1 114,FSDI 111
"Saturday (12 pm - 3 pm), 03/07/26",,,,,,,,,FSDI 120,,,MDI-1 117,FSDI 114,,
"Sunday, 03/08/26",,,,,,,,,,,,,,,
"Monday, 03/09/26",,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 114,,
"Tuesday, 03/10/26",,,,,,,,,,MDI-1 120,FSDI 118,,,MDI-1 114,FSDI 111
"Wednesday, 03/11/26",,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 115,,
"Thursday, 03/12/26",,,,,,,,,,MDI-1 120,FSDI 118,,,MDI-1 115,FSDI 111
"Friday, 03/13/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/14/26",,,,,,,,,,MDI-1 120,FSDI 118,,,MDI-1 115,FSDI 111
"Saturday (12 pm - 3 pm), 03/14/26",,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 115,,
"Sunday, 03/15/26",,,,,,,,,FSDI 120,MDI-1 120,,,,,
"Monday, 03/16/26",,,,,,,,,,,,MDI-1 118,FSDI 115,,
"Tuesday, 03/17/26",,,,,,,,,,,FSDI 118,,,MDI-1 115,FSDI 112
"Wednesday, 03/18/26",,,,,,,,,,,,MDI-1 118,FSDI 115,,
"Thursday, 03/19/26",,,,,,,,,,,FSDI 118,,,MDI-1 115,FSDI 112
"Friday, 03/20/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/21/26",,,,,,,,,,,FSDI 118,,,MDI-1 116,FSDI 112
"Saturday (12 pm - 3 pm), 03/21/26",,,,,,,,,,,,MDI-1 118,FSDI 116,,
"Sunday, 03/22/26",,,,,,,,,,,,,,,
"Monday, 03/23/26",,,,,,,,,,,,MDI-1 119,FSDI 116,,
"Tuesday, 03/24/26",,,,,,,,,,,FSDI 119,,,MDI-1 116,FSDI 112
"Wednesday, 03/25/26",,,,,,,,,,,,MDI-1 119,FSDI 116,,
"Thursday, 03/26/26",,,,,,,,,,,FSDI 119,,,MDI-1 116,FSDI 113
"Friday, 03/27/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/28/26",,,,,,,,,,,FSDI 119,,,MDI-1 116,FSDI 113
"Saturday (12 pm - 3 pm), 03/28/26",,,,,,,,,,,,MDI-1 119,FSDI 116,,
"Sunday, 03/29/26",,,,,,,,,,,,,,,
"Monday, 03/30/26",,,,,,,,,,,,,,,
"Tuesday, 03/31/26",,,,,,,,,,,,,,,
"Wednesday, 04/01/26",,,,,,,,,,,,,,,
"Thursday, 04/02/26",,,,,,,,,,,,,,,
"Friday, 04/03/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/04/26",,,,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 113
"Saturday (12 pm - 3 pm), 04/04/26",,,,,,,,,,,,MDI-1 119,FSDI 117,,
"Sunday, 04/05/26",,,,,,,,,,,,,,,
"Monday, 04/06/26",,,,,,,,,,,,MDI-1 119,FSDI 117,,
"Tuesday, 04/07/26",,,,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 113
"Wednesday, 04/08/26",,,,,,,,,,,,MDI-1 119,FSDI 117,,
"Thursday, 04/09/26",,,,,,,,,,,FSDI 119,,,MDI-1 117,FSDI 114
"Friday, 04/10/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/11/26",,,,,,,,,,,FSDI 120,,,MDI-1 117,FSDI 114
"Saturday (12 pm - 3 pm), 04/11/26",,,,,,,,,,,,MDI-1 120,FSDI 117,,
"Sunday, 04/12/26",,,,,,,,,,,,,,,
"Monday, 04/13/26",,,,,,,,,,,,MDI-1 120,FSDI 117,,
"Tuesday, 04/14/26",,,,,,,,,,,FSDI 120,,,MDI-1 117,FSDI 114
"Wednesday, 04/15/26",,,,,,,,,,,,MDI-1 120,FSDI 117,,
"Thursday, 04/16/26",,,,,,,,,,,FSDI 120,,,MDI-1 117,FSDI 114
"Friday, 04/17/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/18/26",,,,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 115
"Saturday (12 pm - 3 pm), 04/18/26",,,,,,,,,,,,MDI-1 120,FSDI 118,,
"Sunday, 04/19/26",,,,,,,,,,,,,,,
"Monday, 04/20/26",,,,,,,,,,,,MDI-1 120,FSDI 118,,
"Tuesday, 04/21/26",,,,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 115
"Wednesday, 04/22/26",,,,,,,,,,,,MDI-1 120,FSDI 118,,
"Thursday, 04/23/26",,,,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 115
"Friday, 04/24/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 04/25/26",,,,,,,,,,,FSDI 120,,,MDI-1 118,FSDI 115
"Saturday (12 pm - 3 pm), 04/25/26",,,,,,,,,,,,MDI-1 120,FSDI 118,,
"Sunday, 04/26/26",,,,,,,,,,,FSDI 120,MDI-1 120,,,
"Monday, 04/27/26",,,,,,,,,,,,,FSDI 118,,
"Tuesday, 04/28/26",,,,,,,,,,,,,,MDI-1 118,FSDI 116
"Wednesday, 04/29/26",,,,,,,,,,,,,FSDI 118,,
"Thursday, 04/30/26",,,,,,,,,,,,,,MDI-1 118,FSDI 116
"Friday, 05/01/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/02/26",,,,,,,,,,,,,,MDI-1 119,FSDI 116
"Saturday (12 pm - 3 pm), 05/02/26",,,,,,,,,,,,,FSDI 119,,
"Sunday, 05/03/26",,,,,,,,,,,,,,,
"Monday, 05/04/26",,,,,,,,,,,,,FSDI 119,,
"Tuesday, 05/05/26",,,,,,,,,,,,,,MDI-1 119,FSDI 116
"Wednesday, 05/06/26",,,,,,,,,,,,,FSDI 119,,
"Thursday, 05/07/26",,,,,,,,,,,,,,MDI-1 119,FSDI 117
"Friday, 05/08/26",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 05/09/26",,,,,,,,,,,,,,MDI-1 119,FSDI 117
"Saturday (12 pm - 3 pm), 05/09/26",,,,,,,,,,,,,FSDI 119,,
"Sunday, 05/10/26",,,,,,,,,,,,,,,
"Monday, 05/11/26",,,,,,,,,,,,,FSDI 119,,
