Date,FSDI Ch 54,FSDI Ch 55,FSDI Ch 56,FSDI Ch 57,FSDI Ch 58,FSDI Ch 59,FSDI Ch Ch 60,MDI1 Ch 1 (12-3pm),FSDI Ch 61,MDI1 Ch 2 (9-12pm),FSDI Ch 62,MDI1 Ch 3 (12-3pm),FSDI Ch 63,MDI1 Ch 4 (9-12pm),FSDI Ch 64
"Tuesday, 02/04/25",FSDI 108,,FSDI 101,,,,,,,,,,,,
"Wednesday, 02/05/25",,FSDI 104,,,,,,,,,,,,,
"Thursday, 02/06/25",FSDI 108,,FSDI 101,,,,,,,,,,,,
"Friday, 02/07/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/08/25",FSDI 108,,FSDI 101,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 02/08/25",,FSDI 104,,,,,,,,,,,,,
"Sunday, 02/09/25",,,,,,,,,,,,,,,
"Monday, 02/10/25",,FSDI 105,,,,,,,,,,,,,
"Tuesday, 02/11/25",FSDI 109,,FSDI 101,,,,,,,,,,,,
"Wednesday, 02/12/25",,FSDI 105,,,,,,,,,,,,,
"Thursday, 02/13/25",FSDI 109,,FSDI 102,,,,,,,,,,,,
"Friday, 02/14/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/15/25",FSDI 109,,FSDI 102,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 02/15/25",,FSDI 105,,,,,,,,,,,,,
"Sunday, 02/16/25",,,,,,,,,,,,,,,
"Monday, 02/17/25",,,,,,,,,,,,,,,
"Tuesday, 02/18/25",FSDI 109,,FSDI 102,,,,,,,,,,,,
"Wednesday, 02/19/25",,FSDI 105,,,,,,,,,,,,,
"Thursday, 02/20/25",FSDI 110,,FSDI 102,,,,,,,,,,,,
"Friday, 02/21/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 02/22/25",FSDI 110,,FSDI 103,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 02/22/25",,FSDI 106,,,,,,,,,,,,,
"Sunday, 02/23/25",,,,,,,,,,,,,,,
"Monday, 02/24/25",,FSDI 106,,,,,,,,,,,,,
"Tuesday, 02/25/25",FSDI 110,,FSDI 103,,,,,,,,,,,,
"Wednesday, 02/26/25",,FSDI 106,,,,,,,,,,,,,
"Thursday, 02/27/25",FSDI 110,,FSDI 103,,,,,,,,,,,,
"Friday, 02/28/25",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 03/01/25",FSDI 111,,FSDI 103,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 03/01/25",,FSDI 106,,,,,,,,,,,,,
"Sunday, 03/02/25",,,,,,,,,,,,,,,
"Monday, 03/03/25",,FSDI 107,,,,,,,,,,,,,
"Tuesday, 03/04/25",FSDI 111,,FSDI 104,,,,,,,,,,,,
"Wednesday, 03/05/25",,FSDI 107,,,,,,,,,,,,,
"Thursday, 03/06/25",FSDI 111,,FSDI 104,,,,,,,,,,,,
"Friday, 03/07/25",,,,,,,,,,,,,,,
